"district","year","count","pop","rate"
"Northland",2011,599,6829.58,877.06711100829
"Waitematā",2011,1072,23290.05,460.282395271801
"Auckland City",2011,765,16867.14,453.544584321942
"Counties Manukau",2011,1494,24418.1,611.841216147038
"Waikato",2011,1055,14869.22,709.519396444467
"Bay Of Plenty",2011,1329,14158.22,938.677319606561
"Eastern",2011,1010,8851.49,1141.05082873053
"Central",2011,1216,14980.38,811.728407423577
"Wellington",2011,1251,19484.38,642.052762263926
"Tasman",2011,699,6599.17,1059.22411454774
"Canterbury",2011,1429,22306.81,640.611544187627
"Southern",2011,1099,12795.5,858.895705521473
"Outside New Zealand (District)",2011,0,NA,NA
"Northland",2012,565,6802.74,830.547691077419
"Waitematā",2012,897,23329.12,384.498000781855
"Auckland City",2012,747,16898.6,442.048453718059
"Counties Manukau",2012,1311,24567.08,533.640953666451
"Waikato",2012,1011,14947,676.389911018934
"Bay Of Plenty",2012,1237,14067.05,879.359922656136
"Eastern",2012,870,8834.6,984.764448871483
"Central",2012,1039,14864.39,698.985965788034
"Wellington",2012,1030,19541.87,527.073406997386
"Tasman",2012,628,6579.07,954.542207333255
"Canterbury",2012,1345,21988.72,611.677259976934
"Southern",2012,865,12879.8,671.594279414277
"Outside New Zealand (District)",2012,0,NA,NA
"Northland",2013,552,6720.71,821.341792757015
"Waitematā",2013,698,23067.78,302.586551458355
"Auckland City",2013,653,16755.14,389.731151157197
"Counties Manukau",2013,1119,24345.27,459.637539448114
"Waikato",2013,755,14924.27,505.887390137005
"Bay Of Plenty",2013,1109,13920.54,796.664497210597
"Eastern",2013,717,8776.7,816.935750338966
"Central",2013,953,14665.45,649.826633345721
"Wellington",2013,891,19347.97,460.513428540565
"Tasman",2013,478,6524.62,732.609715201805
"Canterbury",2013,1111,21812.03,509.351949360055
"Southern",2013,711,12829.5,554.191511750263
"Outside New Zealand (District)",2013,0,NA,NA
"Northland",2014,450,6704.93,671.147946361856
"Waitematā",2014,575,22901.04,251.080300283306
"Auckland City",2014,543,16649.73,326.131414743663
"Counties Manukau",2014,997,24282.16,410.589502746049
"Waikato",2014,643,14943.35,430.291735119635
"Bay Of Plenty",2014,874,13949.27,626.556085013768
"Eastern",2014,568,8795.7,645.770092204145
"Central",2014,800,14569.37,549.097181278257
"Wellington",2014,636,19235.85,330.632646854701
"Tasman",2014,418,6530.5,640.073501263303
"Canterbury",2014,908,21810.05,416.32183328328
"Southern",2014,553,12788.05,432.434968583951
"Outside New Zealand (District)",2014,0,NA,NA
"Northland",2015,390,6745.68,578.147792364891
"Waitematā",2015,572,23051.86,248.136159077836
"Auckland City",2015,474,16707.23,283.709507799917
"Counties Manukau",2015,808,24620.91,328.176334668377
"Waikato",2015,613,15067.27,406.842115393167
"Bay Of Plenty",2015,803,14136.76,568.022658657288
"Eastern",2015,478,8866.61,539.101189744446
"Central",2015,639,14593.37,437.870073876014
"Wellington",2015,464,19353.67,239.747810105267
"Tasman",2015,362,6580.63,550.099306601344
"Canterbury",2015,721,22035.86,327.193946594324
"Southern",2015,519,12840.13,404.201515093695
"Outside New Zealand (District)",2015,0,NA,NA
"Northland",2016,323,6738.4,479.342277098421
"Waitematā",2016,499,23214.25,214.95417685258
"Auckland City",2016,433,16720.11,258.969588118738
"Counties Manukau",2016,913,24947.77,365.964573186301
"Waikato",2016,599,15163.56,395.025970154766
"Bay Of Plenty",2016,723,14228.22,508.145080691752
"Eastern",2016,394,8868.24,444.282067242204
"Central",2016,590,14571.95,404.887472163986
"Wellington",2016,388,19480.45,199.174043720756
"Tasman",2016,291,6599.52,440.941159357044
"Canterbury",2016,642,22273.9,288.229721781996
"Southern",2016,458,12873.67,355.764906200019
"Outside New Zealand (District)",2016,0,NA,NA
"Northland",2017,272,6718.54,404.849863214329
"Waitematā",2017,454,23141.76,196.18213999281
"Auckland City",2017,439,16492.66,266.179015392302
"Counties Manukau",2017,761,25018.81,304.171141633035
"Waikato",2017,497,15176.28,327.484732754008
"Bay Of Plenty",2017,591,14235.98,415.145286801471
"Eastern",2017,487,8805.93,553.036419776219
"Central",2017,561,14455.85,388.078182880979
"Wellington",2017,311,19450.93,159.88952713315
"Tasman",2017,292,6558.47,445.22579199112
"Canterbury",2017,622,22275.83,279.226408174241
"Southern",2017,422,12848.96,328.431250466964
"Outside New Zealand (District)",2017,0,NA,NA
"Northland",2018,254,6717.98,378.089842482413
"Waitematā",2018,579,22789.67,254.062476551876
"Auckland City",2018,317,16085.76,197.06871170526
"Counties Manukau",2018,828,24880.63,332.7890009216
"Waikato",2018,526,15159.17,346.984696391689
"Bay Of Plenty",2018,547,14280.39,383.042760036666
"Eastern",2018,387,8772.97,441.127691078392
"Central",2018,683,14328.24,476.681015951715
"Wellington",2018,308,19284.96,159.709950137309
"Tasman",2018,210,6505.77,322.790384535574
"Canterbury",2018,505,22148.41,228.007337772779
"Southern",2018,492,12776.06,385.09524845688
"Outside New Zealand (District)",2018,0,NA,NA
"Northland",2019,286,6779.36,421.868730971655
"Waitematā",2019,494,22609.74,218.489907446968
"Auckland City",2019,317,15836.34,200.172514608805
"Counties Manukau",2019,618,24977.82,247.419510589795
"Waikato",2019,416,15290.21,272.069513760766
"Bay Of Plenty",2019,542,14488.81,374.081791396257
"Eastern",2019,368,8834.6,416.544042741041
"Central",2019,634,14367.79,441.264801336879
"Wellington",2019,434,19365.67,224.107918806837
"Tasman",2019,253,6517.37,388.193397029784
"Canterbury",2019,484,22169.49,218.31805783534
"Southern",2019,411,12782.85,321.52454264894
"Outside New Zealand (District)",2019,0,NA,NA
"Northland",2020,335,9093.52,368.394197186568
"Waitematā",2020,506,30424.12,166.315410273165
"Auckland City",2020,484,21340.81,226.795515259261
"Counties Manukau",2020,722,33833.64,213.397080538777
"Waikato",2020,723,20756.46,348.325292463166
"Bay Of Plenty",2020,789,19620.63,402.127760423595
"Eastern",2020,517,11843.07,436.542214138733
"Central",2020,812,19366.1,419.2893767976
"Wellington",2020,623,26411.22,235.884597530898
"Tasman",2020,353,8734.97,404.122738830242
"Canterbury",2020,632,29969.21,210.883103024738
"Southern",2020,597,17536.16,340.43941204916
"Outside New Zealand (District)",2020,1,NA,NA
"Northland",2021,344,9231.71,372.628689592719
"Waitematā",2021,526,30694.16,171.368103899895
"Auckland City",2021,411,21459.17,191.526512908002
"Counties Manukau",2021,658,34373.24,191.427982930908
"Waikato",2021,597,21138.41,282.424269375038
"Bay Of Plenty",2021,825,20026.44,411.955394967853
"Eastern",2021,425,11953,355.559273822471
"Central",2021,773,19639.87,393.587126595033
"Wellington",2021,579,26624.75,217.466830674466
"Tasman",2021,345,8827.27,390.834312307203
"Canterbury",2021,577,30256.41,190.703391446639
"Southern",2021,559,17865.53,312.893040396786
"Outside New Zealand (District)",2021,0,NA,NA
