"ethnicity","year","count","prop"
"Māori",2011,5957,46.4519650655022
"Pasifika",2011,1092,8.51528384279476
"Asian",2011,243,1.89488459139114
"MELAA",2011,99,0.771990018714909
"Other",2011,58,0.45227698066126
"European",2011,5375,41.9135995009358
"Unknown",2011,194,NA
"Māori",2012,5458,48.1772442404449
"Pasifika",2012,1040,9.17998058081031
"Asian",2012,173,1.52705446200018
"MELAA",2012,62,0.547268073086769
"Other",2012,45,0.397210698208138
"European",2012,4551,40.1712419454497
"Unknown",2012,216,NA
"Māori",2013,4866,51.1080768826804
"Pasifika",2013,880,9.24272660434828
"Asian",2013,125,1.31288730175402
"MELAA",2013,79,0.829744774708539
"Other",2013,44,0.462136330217414
"European",2013,3527,37.0444281062914
"Unknown",2013,226,NA
"Māori",2014,4054,52.384028944308
"Pasifika",2014,724,9.35521385191885
"Asian",2014,126,1.62811732782013
"MELAA",2014,54,0.697764569065771
"Other",2014,34,0.439333247189559
"European",2014,2747,35.4955420596976
"Unknown",2014,226,NA
"Māori",2015,3547,53.5719679806676
"Pasifika",2015,610,9.21310980214469
"Asian",2015,92,1.38951819966772
"MELAA",2015,48,0.724966017217943
"Other",2015,34,0.513517595529376
"European",2015,2290,34.5869204047727
"Unknown",2015,222,NA
"Māori",2016,3345,55.6757656458056
"Pasifika",2016,532,8.85486018641811
"Asian",2016,75,1.24833555259654
"MELAA",2016,31,0.515978695073236
"Other",2016,41,0.682423435419441
"European",2016,1984,33.0226364846871
"Unknown",2016,245,NA
"Māori",2017,3051,56.6573816155989
"Pasifika",2017,507,9.4150417827298
"Asian",2017,72,1.33704735376045
"MELAA",2017,27,0.501392757660167
"Other",2017,33,0.612813370473538
"European",2017,1695,31.4763231197772
"Unknown",2017,324,NA
"Māori",2018,2916,56.7867575462512
"Pasifika",2018,447,8.70496592015579
"Asian",2018,69,1.34371957156767
"MELAA",2018,31,0.603700097370983
"Other",2018,32,0.62317429406037
"European",2018,1640,31.937682570594
"Unknown",2018,501,NA
"Māori",2019,2563,54.882226980728
"Pasifika",2019,370,7.92291220556745
"Asian",2019,72,1.54175588865096
"MELAA",2019,37,0.792291220556745
"Other",2019,38,0.813704496788008
"European",2019,1590,34.0471092077088
"Unknown",2019,587,NA
"Māori",2020,3161,54.5752762430939
"Pasifika",2020,463,7.99378453038674
"Asian",2020,103,1.77831491712707
"MELAA",2020,61,1.05317679558011
"Other",2020,54,0.93232044198895
"European",2020,1950,33.6671270718232
"Unknown",2020,1302,NA
"Māori",2021,2869,57.037773359841
"Pasifika",2021,328,6.52087475149105
"Asian",2021,100,1.98807157057654
"MELAA",2021,40,0.795228628230616
"Other",2021,40,0.795228628230616
"European",2021,1653,32.8628230616302
"Unknown",2021,1589,NA
