"group","year","count","pop","rate"
"Māori",2011,5957,42960,1407.61564530425
"Pasifika",2011,1092,16947.8,654.078789373855
"European/Other",2011,5775,125542.24,466.963432954351
"Unknown",2011,194,NA,NA
"Non-Māori",2011,6867,142490.04,489.218978938663
"Māori",2012,5458,43190.03,1287.81175830611
"Pasifika",2012,1040,16934.88,625.825962778921
"European/Other",2012,4831,125175.13,393.297645817191
"Unknown",2012,216,NA,NA
"Non-Māori",2012,5871,142110.01,421.00744011211
"Māori",2013,4866,43310,1150.19724168895
"Pasifika",2013,880,16908.26,532.809740402517
"European/Other",2013,3775,123471.72,312.995330762325
"Unknown",2013,226,NA,NA
"Non-Māori",2013,4655,140379.98,339.471180024754
"Māori",2014,4054,43300.01,963.599755615331
"Pasifika",2014,724,17312.53,430.406638027681
"European/Other",2014,2961,122547.46,248.676660559144
"Unknown",2014,226,NA,NA
"Non-Māori",2014,3685,139859.99,271.172055323746
"Māori",2015,3547,44160,830.147139700426
"Pasifika",2015,610,18014.6,349.967861490547
"European/Other",2015,2464,122425.38,208.013822568666
"Unknown",2015,222,NA,NA
"Non-Māori",2015,3074,140439.98,226.222634828267
"Māori",2016,3345,45210.03,770.051607095201
"Pasifika",2016,532,18441.26,300.247601008133
"European/Other",2016,2131,122028.75,181.752248278463
"Unknown",2016,245,NA,NA
"Non-Māori",2016,2663,140470.01,197.30861941049
"Māori",2017,3051,45990,703.320268848563
"Pasifika",2017,507,18559.79,289.607121296116
"European/Other",2017,1827,120630.21,160.567186958343
"Unknown",2017,324,NA,NA
"Non-Māori",2017,2334,139190,177.773552953909
"Māori",2018,2916,46000,695.761229414504
"Pasifika",2018,447,18654.78,262.9952640878
"European/Other",2018,1772,119075.23,163.332581044211
"Unknown",2018,501,NA,NA
"Non-Māori",2018,2219,137730.01,176.831348860955
"Māori",2019,2563,45980.02,627.480952025874
"Pasifika",2019,370,18833.55,221.151877711149
"European/Other",2019,1737,119206.48,164.029156215035
"Unknown",2019,587,NA,NA
"Non-Māori",2019,2107,138040.03,171.822718933278
"Māori",2020,3161,62029.97,624.145086106778
"Pasifika",2020,463,25790.3,219.880759272143
"European/Other",2020,2168,161109.64,164.816383968661
"Unknown",2020,1302,NA,NA
"Non-Māori",2020,2631,186899.94,172.414710422856
"Māori",2021,2869,63489.97,594.63411601673
"Pasifika",2021,328,26400.13,163.490369100907
"European/Other",2021,1833,162199.86,148.708703047643
"Unknown",2021,1589,NA,NA
"Non-Māori",2021,2161,188599.99,150.777833090666
