"Maximum Penalty for Offences (years)","year","number","prop"
"0",2011,1183,9.08741742203103
"0.25 to 1",2011,7636,58.6572438162544
"2 to 5",2011,1131,8.68797050238132
"7 to 10",2011,2690,20.6636964203411
"14 plus",2011,378,2.90367183899216
"0",2012,1092,9.4586401039411
"0.25 to 1",2012,6472,56.0588999566912
"2 to 5",2012,1048,9.07752273711563
"7 to 10",2012,2600,22.5205716760502
"14 plus",2012,333,2.88436552620182
"0",2013,827,8.48466194726583
"0.25 to 1",2013,5522,56.6533292295065
"2 to 5",2013,896,9.1925720734585
"7 to 10",2013,2196,22.5300092336103
"14 plus",2013,306,3.13942751615882
"0",2014,594,7.45762711864407
"0.25 to 1",2014,4483,56.2837413684871
"2 to 5",2014,810,10.1694915254237
"7 to 10",2014,1854,23.2768361581921
"14 plus",2014,224,2.81230382925298
"0",2015,422,6.16688586877101
"0.25 to 1",2015,3620,52.900774514102
"2 to 5",2015,816,11.924594476107
"7 to 10",2015,1702,24.8721321058015
"14 plus",2015,283,4.13561303521847
"0",2016,383,6.12505997121382
"0.25 to 1",2016,3087,49.3683032144571
"2 to 5",2016,766,12.2501199424276
"7 to 10",2016,1730,27.6667199744123
"14 plus",2016,287,4.58979689748921
"0",2017,352,6.16570327552987
"0.25 to 1",2017,2572,45.0516727973375
"2 to 5",2017,786,13.7677351550184
"7 to 10",2017,1642,28.7616044841478
"14 plus",2017,357,6.25328428796637
"0",2018,395,7.00851667849539
"0.25 to 1",2018,2494,44.2512420156139
"2 to 5",2018,822,14.5848119233499
"7 to 10",2018,1527,27.0936834634493
"14 plus",2018,398,7.06174591909155
"0",2019,369,7.01921247859996
"0.25 to 1",2019,2280,43.3707437702111
"2 to 5",2019,872,16.5874072665018
"7 to 10",2019,1380,26.2507133346015
"14 plus",2019,356,6.7719231500856
"0",2020,669,9.43050465181844
"0.25 to 1",2020,3122,44.009021708486
"2 to 5",2020,1164,16.4082323089935
"7 to 10",2020,1752,24.6969269805469
"14 plus",2020,387,5.45531435015506
"0",2021,726,10.9684242332679
"0.25 to 1",2021,2837,42.86145943496
"2 to 5",2021,1111,16.785012841819
"7 to 10",2021,1559,23.5534068590422
"14 plus",2021,386,5.83169663091101
