"type","year","count","prop"
"Homicides",2011,10,0.076816715317253
"Causing injury",2011,1626,12.4903979105853
"Sexual offences",2011,149,1.14456905822707
"Dangerous acts",2011,464,3.56429559072054
"Abductions, threats",2011,334,2.56567829159625
"Robbery, extortion",2011,297,2.28145644492242
"Unlawful entry, burglary",2011,1595,12.2522660931019
"Theft",2011,4083,31.3642648640344
"Deceptions",2011,157,1.20602243048087
"Illicit drugs",2011,602,4.62436626209863
"Weapon offences",2011,336,2.5810416346597
"Property damage",2011,1347,10.347211553234
"Public disorder",2011,1508,11.5839606698418
"Road traffic",2011,301,2.31218313104932
"Against justice",2011,183,1.40574589030573
"Miscellaneous",2011,26,0.199723459824858
"Homicides",2012,5,0.043308791684712
"Causing injury",2012,1465,12.6894759636206
"Sexual offences",2012,156,1.35123430056301
"Dangerous acts",2012,289,2.50324815937635
"Abductions, threats",2012,291,2.52057167605024
"Robbery, extortion",2012,277,2.39930705933304
"Unlawful entry, burglary",2012,1574,13.6336076223473
"Theft",2012,3379,29.2680814205284
"Deceptions",2012,135,1.16933737548722
"Illicit drugs",2012,517,4.47812906019922
"Weapon offences",2012,312,2.70246860112603
"Property damage",2012,1151,9.9696838458207
"Public disorder",2012,1507,13.0532698137722
"Road traffic",2012,329,2.84971849285405
"Against justice",2012,131,1.13469034213945
"Miscellaneous",2012,27,0.233867475097445
"Homicides",2013,3,0.0307787011388119
"Causing injury",2013,1261,12.9373140453473
"Sexual offences",2013,138,1.41582025238535
"Dangerous acts",2013,183,1.87750076946753
"Abductions, threats",2013,273,2.80086180363189
"Robbery, extortion",2013,217,2.22632604904073
"Unlawful entry, burglary",2013,1379,14.1479429568072
"Theft",2013,2987,30.6453267672104
"Deceptions",2013,114,1.16959064327485
"Illicit drugs",2013,397,4.07304811736945
"Weapon offences",2013,251,2.57515132861393
"Property damage",2013,969,9.94152046783626
"Public disorder",2013,1160,11.901097773674
"Road traffic",2013,269,2.7598235354468
"Against justice",2013,113,1.15933107622858
"Miscellaneous",2013,33,0.338565712526931
"Homicides",2014,0,0
"Causing injury",2014,1056,13.2580037664783
"Sexual offences",2014,107,1.34337727558067
"Dangerous acts",2014,123,1.54425612052731
